Iteracao,Pi_Alta,Pi_Baixa,Pi_Estavel
100,0.380000,0.350000,0.270000
200,0.360000,0.340000,0.300000
300,0.373333,0.313333,0.313333
400,0.382500,0.312500,0.305000
500,0.384000,0.314000,0.302000
600,0.378333,0.311667,0.310000
700,0.365714,0.312857,0.321429
800,0.367500,0.317500,0.315000
900,0.372222,0.322222,0.305556
1000,0.370000,0.328000,0.302000
1100,0.370000,0.327273,0.302727
1200,0.370000,0.323333,0.306667
1300,0.371538,0.326923,0.301538
1400,0.372143,0.327143,0.300714
1500,0.374000,0.326000,0.300000
1600,0.373125,0.329375,0.297500
1700,0.375882,0.327647,0.296471
1800,0.375556,0.328889,0.295556
1900,0.374211,0.326316,0.299474
2000,0.373500,0.324000,0.302500
2100,0.373810,0.328095,0.298095
2200,0.374091,0.327727,0.298182
2300,0.373913,0.326522,0.299565
2400,0.372500,0.327500,0.300000
2500,0.370800,0.326800,0.302400
2600,0.372692,0.321923,0.305385
2700,0.371852,0.322963,0.305185
2800,0.371786,0.322500,0.305714
2900,0.372414,0.321379,0.306207
3000,0.371333,0.321333,0.307333
3100,0.368065,0.323871,0.308065
3200,0.367188,0.322813,0.310000
3300,0.368182,0.323333,0.308485
3400,0.368529,0.321176,0.310294
3500,0.369429,0.319714,0.310857
3600,0.369722,0.320000,0.310278
3700,0.368919,0.321351,0.309730
3800,0.371579,0.321316,0.307105
3900,0.374615,0.319487,0.305897
4000,0.375750,0.318000,0.306250
4100,0.377317,0.317561,0.305122
4200,0.377381,0.317857,0.304762
4300,0.377442,0.316512,0.306047
4400,0.377727,0.317727,0.304545
4500,0.378889,0.317111,0.304000
4600,0.378043,0.315652,0.306304
4700,0.378511,0.315319,0.306170
4800,0.378958,0.315417,0.305625
4900,0.379184,0.314694,0.306122
5000,0.378400,0.315000,0.306600
5100,0.378039,0.315686,0.306275
5200,0.378269,0.317308,0.304423
5300,0.377736,0.316981,0.305283
5400,0.378704,0.314815,0.306481
5500,0.378182,0.314909,0.306909
5600,0.378929,0.313571,0.307500
5700,0.380351,0.313333,0.306316
5800,0.379655,0.314138,0.306207
5900,0.380847,0.312203,0.306949
6000,0.381667,0.311833,0.306500
6100,0.380984,0.311311,0.307705
6200,0.381129,0.310806,0.308065
6300,0.381587,0.310794,0.307619
6400,0.380937,0.311250,0.307812
6500,0.381538,0.310923,0.307538
6600,0.381061,0.311212,0.307727
6700,0.382537,0.310000,0.307463
6800,0.383676,0.308676,0.307647
6900,0.384348,0.307681,0.307971
7000,0.383571,0.308143,0.308286
7100,0.383239,0.307746,0.309014
7200,0.383333,0.308333,0.308333
7300,0.383288,0.308219,0.308493
7400,0.383108,0.308649,0.308243
7500,0.382533,0.308800,0.308667
7600,0.381711,0.308947,0.309342
7700,0.381169,0.309870,0.308961
7800,0.381282,0.309359,0.309359
7900,0.381392,0.309367,0.309241
8000,0.381125,0.308125,0.310750
8100,0.381728,0.307654,0.310617
8200,0.381220,0.307927,0.310854
8300,0.381446,0.308795,0.309759
8400,0.381190,0.307976,0.310833
8500,0.381765,0.308706,0.309529
8600,0.381395,0.308953,0.309651
8700,0.380575,0.309425,0.310000
8800,0.381591,0.309432,0.308977
8900,0.381685,0.308090,0.310225
9000,0.382444,0.307778,0.309778
9100,0.382967,0.308022,0.309011
9200,0.382826,0.307935,0.309239
9300,0.382581,0.308710,0.308710
9400,0.381915,0.309149,0.308936
9500,0.381789,0.309684,0.308526
9600,0.382292,0.309583,0.308125
9700,0.382887,0.309381,0.307732
9800,0.382857,0.309388,0.307755
9900,0.383434,0.309091,0.307475
10000,0.384300,0.308900,0.306800
10100,0.384257,0.308614,0.307129
10200,0.383627,0.308824,0.307549
10300,0.383398,0.308641,0.307961
10400,0.383846,0.309231,0.306923
10500,0.383333,0.309333,0.307333
10600,0.383585,0.309906,0.306509
10700,0.384019,0.309159,0.306822
10800,0.383241,0.309630,0.307130
10900,0.383028,0.309541,0.307431
11000,0.382909,0.309818,0.307273
11100,0.383243,0.309730,0.307027
11200,0.383571,0.309821,0.306607
11300,0.383363,0.309735,0.306903
11400,0.383158,0.309912,0.306930
11500,0.383565,0.309739,0.306696
11600,0.383190,0.310345,0.306466
11700,0.382991,0.310085,0.306923
11800,0.384068,0.310085,0.305847
11900,0.383950,0.309832,0.306218
12000,0.383667,0.310333,0.306000
12100,0.384215,0.310331,0.305455
12200,0.384180,0.310902,0.304918
12300,0.384228,0.310732,0.305041
12400,0.384032,0.310968,0.305000
12500,0.383920,0.311360,0.304720
12600,0.383651,0.311508,0.304841
12700,0.383780,0.311496,0.304724
12800,0.383594,0.311641,0.304766
12900,0.383411,0.311085,0.305504
13000,0.382846,0.310923,0.306231
13100,0.383359,0.310687,0.305954
13200,0.382879,0.310682,0.306439
13300,0.382932,0.310902,0.306165
13400,0.382761,0.310597,0.306642
13500,0.383111,0.310370,0.306519
13600,0.383088,0.310588,0.306324
13700,0.382409,0.310949,0.306642
13800,0.382246,0.311377,0.306377
13900,0.382086,0.311151,0.306763
14000,0.382143,0.311429,0.306429
14100,0.382199,0.311418,0.306383
14200,0.381479,0.311549,0.306972
14300,0.381329,0.311678,0.306993
14400,0.381667,0.311667,0.306667
14500,0.381241,0.311793,0.306966
14600,0.381507,0.311986,0.306507
14700,0.380884,0.312109,0.307007
14800,0.380608,0.312365,0.307027
14900,0.380671,0.312349,0.306980
15000,0.381000,0.312267,0.306733
15100,0.381258,0.312185,0.306556
15200,0.381711,0.311908,0.306382
15300,0.381634,0.311895,0.306471
15400,0.381429,0.311753,0.306818
15500,0.381677,0.311032,0.307290
15600,0.382115,0.311218,0.306667
15700,0.381847,0.311592,0.306561
15800,0.382405,0.311519,0.306076
15900,0.382138,0.311698,0.306164
16000,0.382500,0.311750,0.305750
16100,0.382422,0.311615,0.305963
16200,0.382531,0.311667,0.305802
16300,0.382945,0.311595,0.305460
16400,0.382683,0.311829,0.305488
16500,0.382848,0.311758,0.305394
16600,0.383133,0.311687,0.305181
16700,0.383054,0.311617,0.305329
16800,0.382857,0.311369,0.305774
16900,0.382663,0.311657,0.305680
17000,0.382529,0.311882,0.305588
17100,0.382398,0.312164,0.305439
17200,0.382151,0.312035,0.305814
17300,0.382139,0.312486,0.305376
17400,0.381954,0.312701,0.305345
17500,0.381714,0.312971,0.305314
17600,0.381932,0.312841,0.305227
17700,0.382147,0.312599,0.305254
17800,0.382135,0.312528,0.305337
17900,0.382011,0.312905,0.305084
18000,0.382333,0.312833,0.304833
18100,0.382652,0.312707,0.304641
18200,0.382912,0.312418,0.304670
18300,0.382787,0.312459,0.304754
18400,0.382717,0.312228,0.305054
18500,0.383189,0.311946,0.304865
18600,0.383011,0.312258,0.304731
18700,0.382941,0.312299,0.304759
18800,0.383032,0.312500,0.304468
18900,0.382751,0.312593,0.304656
19000,0.382789,0.312526,0.304684
19100,0.382565,0.312408,0.305026
19200,0.382500,0.312448,0.305052
19300,0.382591,0.312435,0.304974
19400,0.382423,0.312526,0.305052
19500,0.382615,0.312462,0.304923
19600,0.382398,0.312245,0.305357
19700,0.382386,0.312386,0.305228
19800,0.382273,0.312778,0.304949
19900,0.381859,0.313015,0.305126
20000,0.381500,0.313600,0.304900
20100,0.381493,0.313532,0.304975
20200,0.381634,0.313564,0.304802
20300,0.381675,0.313596,0.304729
20400,0.381618,0.313725,0.304657
20500,0.381512,0.313805,0.304683
20600,0.381262,0.314029,0.304709
20700,0.380918,0.314010,0.305072
20800,0.380673,0.314087,0.305240
20900,0.380574,0.314545,0.304880
21000,0.380524,0.314524,0.304952
21100,0.380616,0.314313,0.305071
21200,0.380189,0.314434,0.305377
21300,0.380047,0.314272,0.305681
21400,0.379766,0.314486,0.305748
21500,0.379860,0.314512,0.305628
21600,0.379722,0.314815,0.305463
21700,0.379677,0.314793,0.305530
21800,0.379679,0.314817,0.305505
21900,0.379909,0.314703,0.305388
22000,0.379909,0.314955,0.305136
22100,0.379729,0.314796,0.305475
22200,0.379595,0.314730,0.305676
22300,0.379372,0.314888,0.305740
22400,0.379241,0.314509,0.306250
22500,0.379467,0.314267,0.306267
22600,0.379602,0.314558,0.305841
22700,0.379648,0.314581,0.305771
22800,0.379649,0.314605,0.305746
22900,0.379520,0.314498,0.305983
23000,0.379348,0.314609,0.306043
23100,0.379394,0.314372,0.306234
23200,0.379138,0.314526,0.306336
23300,0.378970,0.314378,0.306652
23400,0.378932,0.314231,0.306838
23500,0.379106,0.313957,0.306936
23600,0.378983,0.314025,0.306992
23700,0.378861,0.314262,0.306878
23800,0.378697,0.314370,0.306933
23900,0.378494,0.314770,0.306736
24000,0.378500,0.314792,0.306708
24100,0.378506,0.314730,0.306763
24200,0.378388,0.314876,0.306736
24300,0.378313,0.314733,0.306955
24400,0.378361,0.314590,0.307049
24500,0.378449,0.314816,0.306735
24600,0.378496,0.314675,0.306829
24700,0.378664,0.314534,0.306802
24800,0.378750,0.314274,0.306976
24900,0.378755,0.314337,0.306908
25000,0.378880,0.314160,0.306960
25100,0.378606,0.314263,0.307131
25200,0.379127,0.313770,0.307103
25300,0.379209,0.313715,0.307075
25400,0.379134,0.313622,0.307244
25500,0.378980,0.313765,0.307255
25600,0.379180,0.313711,0.307109
25700,0.379416,0.313502,0.307082
25800,0.379419,0.313605,0.306977
25900,0.379575,0.313359,0.307066
26000,0.379846,0.313346,0.306808
26100,0.379732,0.313295,0.306973
26200,0.379733,0.313168,0.307099
26300,0.379848,0.313346,0.306806
26400,0.379508,0.313523,0.306970
26500,0.379358,0.313736,0.306906
26600,0.379323,0.313985,0.306692
26700,0.379288,0.314195,0.306517
26800,0.379627,0.313918,0.306455
26900,0.379926,0.313941,0.306134
27000,0.380000,0.313889,0.306111
27100,0.379705,0.314096,0.306199
27200,0.379743,0.313897,0.306360
27300,0.379780,0.313846,0.306374
27400,0.379818,0.313905,0.306277
27500,0.379709,0.314145,0.306145
27600,0.379746,0.314094,0.306159
27700,0.379819,0.313935,0.306245
27800,0.379784,0.314029,0.306187
27900,0.379928,0.313728,0.306344
28000,0.379750,0.313536,0.306714
28100,0.379573,0.313737,0.306690
28200,0.379610,0.313582,0.306809
28300,0.379576,0.313640,0.306784
28400,0.379648,0.313697,0.306655
28500,0.380000,0.313333,0.306667
28600,0.379930,0.313322,0.306748
28700,0.379895,0.313240,0.306864
28800,0.379896,0.313333,0.306771
28900,0.379792,0.313322,0.306886
29000,0.380000,0.313345,0.306655
29100,0.380137,0.313574,0.306289
29200,0.380240,0.313562,0.306199
29300,0.380273,0.313413,0.306314
29400,0.380102,0.313571,0.306327
29500,0.379864,0.313458,0.306678
29600,0.379764,0.313682,0.306554
29700,0.379933,0.313367,0.306700
29800,0.379933,0.313221,0.306846
29900,0.380033,0.313077,0.306890
30000,0.379933,0.312800,0.307267
30100,0.380033,0.312691,0.307276
30200,0.380364,0.312450,0.307185
30300,0.380495,0.312442,0.307063
30400,0.380461,0.312303,0.307237
30500,0.380230,0.312262,0.307508
30600,0.380098,0.312549,0.307353
30700,0.380033,0.312638,0.307329
30800,0.379805,0.312792,0.307403
30900,0.379935,0.312686,0.307379
31000,0.380065,0.312548,0.307387
31100,0.379711,0.312862,0.307428
31200,0.379872,0.312821,0.307308
31300,0.379744,0.312939,0.307316
31400,0.379554,0.312994,0.307452
31500,0.379429,0.313333,0.307238
31600,0.379399,0.313259,0.307342
31700,0.379211,0.313249,0.307539
31800,0.379340,0.313176,0.307484
31900,0.379248,0.313480,0.307273
32000,0.379156,0.313406,0.307437
32100,0.379221,0.313396,0.307383
32200,0.379379,0.313199,0.307422
32300,0.379474,0.313065,0.307461
32400,0.379722,0.312932,0.307346
32500,0.379754,0.312954,0.307292
32600,0.380061,0.312730,0.307209
32700,0.380245,0.312661,0.307095
32800,0.380122,0.312896,0.306982
32900,0.380243,0.312614,0.307143
33000,0.380242,0.312848,0.306909
33100,0.380242,0.312900,0.306858
33200,0.380000,0.313102,0.306898
33300,0.380150,0.312913,0.306937
33400,0.380060,0.312994,0.306946
33500,0.380239,0.312985,0.306776
33600,0.379940,0.313065,0.306994
33700,0.379852,0.312997,0.307151
33800,0.380030,0.312870,0.307101
33900,0.379941,0.312861,0.307198
34000,0.379941,0.312941,0.307118
34100,0.379853,0.313079,0.307067
34200,0.379883,0.313070,0.307047
34300,0.379738,0.313149,0.307114
34400,0.379622,0.313023,0.307355
34500,0.379333,0.313072,0.307594
34600,0.379306,0.312977,0.307717
34700,0.379280,0.313170,0.307550
34800,0.379253,0.313190,0.307557
34900,0.379370,0.312980,0.307650
35000,0.379343,0.312943,0.307714
35100,0.379402,0.312764,0.307835
35200,0.379460,0.312727,0.307812
35300,0.379518,0.312550,0.307932
35400,0.379774,0.312655,0.307571
35500,0.379944,0.312507,0.307549
35600,0.379944,0.312472,0.307584
35700,0.380000,0.312521,0.307479
35800,0.380056,0.312821,0.307123
35900,0.380084,0.312981,0.306936
36000,0.380028,0.312972,0.307000
36100,0.380083,0.313186,0.306731
36200,0.380221,0.313066,0.306713
36300,0.380331,0.313113,0.306556
36400,0.380412,0.312967,0.306621
36500,0.380356,0.313014,0.306630
36600,0.380191,0.313279,0.306530
36700,0.380082,0.313406,0.306512
36800,0.379918,0.313370,0.306712
36900,0.379783,0.313550,0.306667
37000,0.379676,0.313649,0.306676
37100,0.379542,0.313720,0.306739
37200,0.379462,0.313737,0.306801
37300,0.379437,0.313700,0.306863
37400,0.379439,0.313930,0.306631
37500,0.379573,0.313867,0.306560
37600,0.379521,0.313830,0.306649
37700,0.379682,0.313687,0.306631
37800,0.379788,0.313571,0.306640
37900,0.379815,0.313641,0.306544
38000,0.380026,0.313500,0.306474
38100,0.380184,0.313412,0.306404
38200,0.380209,0.313534,0.306257
38300,0.380183,0.313525,0.306292
38400,0.380234,0.313568,0.306198
38500,0.380390,0.313455,0.306156
38600,0.380259,0.313497,0.306244
38700,0.380155,0.313566,0.306279
38800,0.380000,0.313608,0.306392
38900,0.379897,0.313522,0.306581
39000,0.379897,0.313513,0.306590
39100,0.379872,0.313581,0.306547
39200,0.379668,0.313827,0.306505
39300,0.379593,0.313969,0.306438
39400,0.379543,0.313858,0.306599
39500,0.379595,0.313873,0.306532
39600,0.379545,0.314040,0.306414
39700,0.379572,0.313980,0.306448
39800,0.379673,0.314045,0.306281
39900,0.379549,0.314211,0.306241
40000,0.379700,0.314025,0.306275
40100,0.379476,0.314040,0.306484
40200,0.379652,0.314055,0.306294
40300,0.379628,0.314119,0.306253
40400,0.379356,0.314233,0.306411
40500,0.379333,0.314148,0.306519
40600,0.379138,0.314212,0.306650
40700,0.379091,0.314152,0.306757
40800,0.379069,0.314142,0.306789
40900,0.379144,0.314083,0.306773
41000,0.379073,0.314220,0.306707
41100,0.379197,0.314307,0.306496
41200,0.379102,0.314272,0.306626
41300,0.379104,0.314262,0.306634
41400,0.379106,0.314275,0.306618
41500,0.379036,0.314361,0.306602
41600,0.379087,0.314375,0.306538
41700,0.379185,0.314388,0.306427
41800,0.379139,0.314282,0.306579
41900,0.379117,0.314248,0.306635
42000,0.379000,0.314214,0.306786
42100,0.379026,0.314228,0.306746
42200,0.379005,0.314289,0.306706
42300,0.379078,0.314397,0.306525
42400,0.379127,0.314292,0.306580
42500,0.379059,0.314282,0.306659
42600,0.378991,0.314202,0.306808
42700,0.379297,0.314239,0.306464
42800,0.379322,0.314299,0.306379
42900,0.379138,0.314452,0.306410
43000,0.379070,0.314488,0.306442
43100,0.379072,0.314501,0.306427
43200,0.379097,0.314560,0.306343
43300,0.378961,0.314388,0.306651
43400,0.378963,0.314424,0.306613
43500,0.379103,0.314368,0.306529
43600,0.379174,0.314335,0.306491
43700,0.379291,0.314394,0.306316
43800,0.379361,0.314452,0.306187
43900,0.379476,0.314396,0.306128
44000,0.379273,0.314500,0.306227
44100,0.379365,0.314467,0.306168
44200,0.379276,0.314570,0.306154
44300,0.379391,0.314424,0.306185
44400,0.379369,0.314505,0.306126
44500,0.379416,0.314494,0.306090
44600,0.379327,0.314507,0.306166
44700,0.379418,0.314430,0.306152
44800,0.379308,0.314688,0.306004
44900,0.379287,0.314722,0.305991
45000,0.379267,0.314711,0.306022
45100,0.379268,0.314834,0.305898
45200,0.379425,0.314690,0.305885
45300,0.379603,0.314724,0.305673
45400,0.379559,0.314626,0.305815
45500,0.379560,0.314549,0.305890
45600,0.379474,0.314583,0.305943
45700,0.379431,0.314617,0.305952
45800,0.379563,0.314520,0.305917
45900,0.379499,0.314728,0.305773
46000,0.379565,0.314652,0.305783
46100,0.379479,0.314642,0.305879
46200,0.379437,0.314697,0.305866
46300,0.379395,0.314752,0.305853
46400,0.379375,0.314720,0.305905
46500,0.379312,0.314710,0.305978
46600,0.379185,0.314850,0.305966
46700,0.379229,0.314925,0.305846
46800,0.379167,0.314808,0.306026
46900,0.379296,0.314819,0.305885
47000,0.379319,0.314872,0.305809
47100,0.379427,0.314820,0.305754
47200,0.379470,0.314873,0.305657
47300,0.379345,0.315032,0.305624
47400,0.379219,0.315021,0.305759
47500,0.379242,0.315074,0.305684
47600,0.379328,0.314916,0.305756
47700,0.379245,0.315157,0.305597
47800,0.379121,0.315293,0.305586
47900,0.379186,0.315344,0.305470
48000,0.379021,0.315417,0.305563
48100,0.379148,0.315364,0.305489
48200,0.379129,0.315249,0.305622
48300,0.379234,0.315217,0.305549
48400,0.379132,0.315351,0.305517
48500,0.378990,0.315320,0.305691
48600,0.378971,0.315267,0.305761
48700,0.378912,0.315257,0.305832
48800,0.379037,0.315184,0.305779
48900,0.378957,0.315153,0.305890
49000,0.378959,0.315224,0.305816
49100,0.379124,0.315193,0.305682
49200,0.379207,0.315244,0.305549
49300,0.379270,0.315112,0.305619
49400,0.379211,0.315202,0.305587
49500,0.379313,0.315131,0.305556
49600,0.379456,0.315040,0.305504
49700,0.379618,0.315070,0.305312
49800,0.379538,0.315281,0.305181
49900,0.379539,0.315190,0.305271
50000,0.379560,0.315200,0.305240
50100,0.379361,0.315250,0.305389
50200,0.379622,0.315040,0.305339
50300,0.379503,0.315209,0.305288
50400,0.379484,0.315198,0.305317
50500,0.379426,0.315287,0.305287
50600,0.379348,0.315356,0.305296
50700,0.379389,0.315444,0.305168
